1-Wire/iButton Part Number: DS1921G-F5
1-Wire/iButton Registration Number: EB00000051023021
Is Mission Active?  true
Mission Start:  Fri Apr 16 13:01:00 PDT 2021
Sample Rate:  Every 60 minute(s)
Number of Mission Samples:  1969
Total Samples:  16435
Roll Over Enabled?  false
Roll Over Occurred?  Roll over has NOT occurred
Active Alarms:  None fired
Next Clock Alarm At:  Disabled
High Temperature Alarm:  85 °C
Low Temperature Alarm:  -40 °C

Date/Time,Unit,Value
2021-04-28, 9:01:00 p.m.,C,9
2021-04-28, 10:01:00 p.m.,C,9.5
2021-04-28, 11:01:00 p.m.,C,9
2021-04-29, 12:01:00 a.m.,C,9
2021-04-29, 1:01:00 a.m.,C,9
2021-04-29, 2:01:00 a.m.,C,9
2021-04-29, 3:01:00 a.m.,C,8.5
2021-04-29, 4:01:00 a.m.,C,9
2021-04-29, 5:01:00 a.m.,C,9
2021-04-29, 6:01:00 a.m.,C,9
2021-04-29, 7:01:00 a.m.,C,9
2021-04-29, 8:01:00 a.m.,C,9.5
2021-04-29, 9:01:00 a.m.,C,11
2021-04-29, 10:01:00 a.m.,C,13
2021-04-29, 11:01:00 a.m.,C,16.5
2021-04-29, 12:01:00 p.m.,C,19.5
2021-04-29, 1:01:00 p.m.,C,21
2021-04-29, 2:01:00 p.m.,C,22.5
2021-04-29, 3:01:00 p.m.,C,23
2021-04-29, 4:01:00 p.m.,C,23
2021-04-29, 5:01:00 p.m.,C,10
2021-04-29, 6:01:00 p.m.,C,9.5
2021-04-29, 7:01:00 p.m.,C,9.5
2021-04-29, 8:01:00 p.m.,C,9
2021-04-29, 9:01:00 p.m.,C,9
2021-04-29, 10:01:00 p.m.,C,9.5
2021-04-29, 11:01:00 p.m.,C,9.5
2021-04-30, 12:01:00 a.m.,C,9
2021-04-30, 1:01:00 a.m.,C,9.5
2021-04-30, 2:01:00 a.m.,C,9.5
2021-04-30, 3:01:00 a.m.,C,9.5
2021-04-30, 4:01:00 a.m.,C,8.5
2021-04-30, 5:01:00 a.m.,C,8.5
2021-04-30, 6:01:00 a.m.,C,9
2021-04-30, 7:01:00 a.m.,C,9
2021-04-30, 8:01:00 a.m.,C,9
2021-04-30, 9:01:00 a.m.,C,11
2021-04-30, 10:01:00 a.m.,C,13.5
2021-04-30, 11:01:00 a.m.,C,17
2021-04-30, 12:01:00 p.m.,C,17
2021-04-30, 1:01:00 p.m.,C,19.5
2021-04-30, 2:01:00 p.m.,C,22
2021-04-30, 3:01:00 p.m.,C,20
2021-04-30, 4:01:00 p.m.,C,18.5
2021-04-30, 5:01:00 p.m.,C,13.5
2021-04-30, 6:01:00 p.m.,C,9.5
2021-04-30, 7:01:00 p.m.,C,9.5
2021-04-30, 8:01:00 p.m.,C,9.5
2021-04-30, 9:01:00 p.m.,C,9
2021-04-30, 10:01:00 p.m.,C,9
2021-04-30, 11:01:00 p.m.,C,9
2021-05-01, 12:01:00 a.m.,C,9
2021-05-01, 1:01:00 a.m.,C,9.5
2021-05-01, 2:01:00 a.m.,C,9.5
2021-05-01, 3:01:00 a.m.,C,9.5
2021-05-01, 4:01:00 a.m.,C,9
2021-05-01, 5:01:00 a.m.,C,9
2021-05-01, 6:01:00 a.m.,C,9
2021-05-01, 7:01:00 a.m.,C,9
2021-05-01, 8:01:00 a.m.,C,9
2021-05-01, 9:01:00 a.m.,C,9
2021-05-01, 10:01:00 a.m.,C,9.5
2021-05-01, 11:01:00 a.m.,C,13
2021-05-01, 12:01:00 p.m.,C,15
2021-05-01, 1:01:00 p.m.,C,16.5
2021-05-01, 2:01:00 p.m.,C,17
2021-05-01, 3:01:00 p.m.,C,17.5
2021-05-01, 4:01:00 p.m.,C,17.5
2021-05-01, 5:01:00 p.m.,C,16.5
2021-05-01, 6:01:00 p.m.,C,10.5
2021-05-01, 7:01:00 p.m.,C,9.5
2021-05-01, 8:01:00 p.m.,C,9
2021-05-01, 9:01:00 p.m.,C,9
2021-05-01, 10:01:00 p.m.,C,9
2021-05-01, 11:01:00 p.m.,C,9
2021-05-02, 12:01:00 a.m.,C,9
2021-05-02, 1:01:00 a.m.,C,9
2021-05-02, 2:01:00 a.m.,C,9
2021-05-02, 3:01:00 a.m.,C,9
2021-05-02, 4:01:00 a.m.,C,9
2021-05-02, 5:01:00 a.m.,C,9
2021-05-02, 6:01:00 a.m.,C,9
2021-05-02, 7:01:00 a.m.,C,9
2021-05-02, 8:01:00 a.m.,C,9
2021-05-02, 9:01:00 a.m.,C,9
2021-05-02, 10:01:00 a.m.,C,9.5
2021-05-02, 11:01:00 a.m.,C,13
2021-05-02, 12:01:00 p.m.,C,17
2021-05-02, 1:01:00 p.m.,C,20.5
2021-05-02, 2:01:00 p.m.,C,23
2021-05-02, 3:01:00 p.m.,C,24
2021-05-02, 4:01:00 p.m.,C,23.5
2021-05-02, 5:01:00 p.m.,C,21.5
2021-05-02, 6:01:00 p.m.,C,19.5
2021-05-02, 7:01:00 p.m.,C,16.5
2021-05-02, 8:01:00 p.m.,C,9.5
2021-05-02, 9:01:00 p.m.,C,9.5
2021-05-02, 10:01:00 p.m.,C,9.5
2021-05-02, 11:01:00 p.m.,C,9.5
2021-05-03, 12:01:00 a.m.,C,9.5
2021-05-03, 1:01:00 a.m.,C,9.5
2021-05-03, 2:01:00 a.m.,C,9.5
2021-05-03, 3:01:00 a.m.,C,9.5
2021-05-03, 4:01:00 a.m.,C,9.5
2021-05-03, 5:01:00 a.m.,C,9.5
2021-05-03, 6:01:00 a.m.,C,9.5
2021-05-03, 7:01:00 a.m.,C,9.5
