date,tide_height_m,hour,site_code
2021-06-27,2,18,SN
2021-06-27,2.4,19,SN
2021-06-27,2.7,20,SN
2021-06-27,2.9,21,SN
2021-06-27,3,22,SN
2021-06-27,2.9,23,SN
2021-06-28,2.8,0,SN
2021-06-28,2.7,1,SN
2021-06-28,2.6,2,SN
2021-06-28,2.6,3,SN
2021-06-28,2.5,4,SN
2021-06-28,2.6,5,SN
2021-06-28,2.6,6,SN
2021-06-28,2.5,7,SN
2021-06-28,2.3,8,SN
2021-06-28,2,9,SN
2021-06-28,1.5,10,SN
2021-06-28,1,11,SN
2021-06-28,0.6,12,SN
2021-06-28,0.3,13,SN
2021-06-28,0.3,14,SN
2021-06-28,0.4,15,SN
2021-06-28,0.8,16,SN
2021-06-28,1.2,17,SN
2021-06-28,1.7,18,SN
2021-06-28,2.1,19,SN
2021-06-28,2.5,20,SN
2021-06-28,2.8,21,SN
2021-06-28,2.9,22,SN
2021-06-28,2.9,23,SN
2021-06-29,2.8,0,SN
2021-06-29,2.7,1,SN
2021-06-29,2.5,2,SN
2021-06-29,2.4,3,SN
2021-06-29,2.3,4,SN
2021-06-29,2.3,5,SN
2021-06-29,2.4,6,SN
2021-06-29,2.4,7,SN
2021-06-29,2.3,8,SN
2021-06-29,2.1,9,SN
2021-06-29,1.8,10,SN
2021-06-29,1.5,11,SN
2021-06-29,1.1,12,SN
2021-06-29,0.8,13,SN
2021-06-29,0.6,14,SN
2021-06-29,0.6,15,SN
2021-06-29,0.8,16,SN
2021-06-29,1.1,17,SN
2021-06-29,1.5,18,SN
2021-06-29,1.9,19,SN
2021-06-29,2.3,20,SN
2021-06-29,2.6,21,SN
2021-06-29,2.8,22,SN
2021-06-29,2.9,23,SN
2021-06-25,2.9,0,CE
2021-06-25,3,1,CE
2021-06-25,3.2,2,CE
2021-06-25,3.3,3,CE
2021-06-25,3.3,4,CE
2021-06-25,3.3,5,CE
2021-06-25,3,6,CE
2021-06-25,2.5,7,CE
2021-06-25,1.8,8,CE
2021-06-25,1.1,9,CE
2021-06-25,0.4,10,CE
2021-06-25,0,11,CE
2021-06-25,-0.2,12,CE
2021-06-25,0,13,CE
2021-06-25,0.4,14,CE
2021-06-25,1,15,CE
2021-06-25,1.7,16,CE
2021-06-25,2.3,17,CE
2021-06-25,2.9,18,CE
2021-06-25,3.3,19,CE
2021-06-25,3.5,20,CE
2021-06-25,3.4,21,CE
